City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Alpena,US,2021-01-30 21:03:26,45.0617,-83.4327,26.6,59,1,6.91
240,Savelugu,GH,2021-01-30 21:07:33,9.6244,-0.8253,84.63,14,3,6.73
241,Cidreira,BR,2021-01-30 21:07:33,-30.1811,-50.2056,78.19,88,100,8.25
242,Vangaindrano,MG,2021-01-30 21:03:08,-23.35,47.6,76.87,88,6,6.33
243,Inhambane,MZ,2021-01-30 21:07:34,-23.865,35.3833,79.34,77,22,7.05
244,Vila Franca Do Campo,PT,2021-01-30 21:07:34,37.7167,-25.4333,63.0,100,40,13.8
245,Waingapu,ID,2021-01-30 21:07:15,-9.6567,120.2641,77.86,81,100,17.9
246,Lagoa,PT,2021-01-30 21:06:33,39.05,-27.9833,61.92,91,73,27.6
247,Komsomolskiy,UZ,2021-01-30 21:07:35,40.4272,71.7189,37.4,44,100,4.61
248,Takapau,NZ,2021-01-30 21:07:35,-40.0333,176.35,64.0,63,24,1.01
249,Kasane,BW,2021-01-30 21:07:35,-17.8167,25.15,69.15,91,100,3.0
250,Shache,CN,2021-01-30 21:07:35,38.4167,77.2406,21.29,87,0,0.58
251,Iqaluit,CA,2021-01-30 21:07:08,63.7506,-68.5145,-9.0,77,20,18.41
252,Coahuayana,MX,2021-01-30 21:07:35,18.7333,-103.6833,89.6,35,40,6.91
253,Naze,JP,2021-01-30 21:04:49,28.3667,129.4833,51.84,68,7,8.97
254,Adrar,MR,2021-01-30 21:07:18,20.5022,-10.0711,70.81,21,11,9.4
255,Bristol,US,2021-01-30 21:07:36,41.8334,-71.1662,24.01,36,1,8.05
256,Kita,ML,2021-01-30 21:07:36,13.0349,-9.4895,78.8,15,0,5.59
257,Pevek,RU,2021-01-30 21:06:22,69.7008,170.3133,-33.7,84,3,1.19
258,Caucaia,BR,2021-01-30 21:07:36,-3.7361,-38.6531,82.4,78,0,10.36
259,La Ronge,CA,2021-01-30 21:07:36,55.1001,-105.2842,12.2,79,71,2.3
260,Flinders,AU,2021-01-30 21:07:37,-34.5833,150.8552,71.01,88,86,3.0
261,Doha,QA,2021-01-30 21:02:47,25.2867,51.5333,68.0,60,0,12.66
262,Smithers,CA,2021-01-30 21:07:37,54.7804,-127.1743,15.8,73,75,4.61
263,Iracoubo,GF,2021-01-30 21:07:37,5.4802,-53.2011,78.62,88,100,13.09
264,San Cristobal,VE,2021-01-30 21:07:37,7.7669,-72.225,35.6,100,40,11.5
265,Tabou,CI,2021-01-30 21:07:37,4.423,-7.3528,78.6,87,54,6.98
266,Pangnirtung,CA,2021-01-30 21:07:37,66.1451,-65.7125,-9.4,77,20,2.84
267,Campbell River,CA,2021-01-30 21:07:37,50.0163,-125.2446,44.01,87,75,14.97
268,Coihaique,CL,2021-01-30 21:07:38,-45.5752,-72.0662,73.4,27,20,10.36
269,Caravelas,BR,2021-01-30 21:07:38,-17.7125,-39.2481,78.85,75,6,7.11
270,La Asuncion,VE,2021-01-30 21:07:38,11.0333,-63.8628,79.03,79,29,15.23
271,Yabelo,ET,2021-01-30 21:07:38,4.8833,38.0833,61.99,30,0,19.64
272,Pak Phanang,TH,2021-01-30 21:07:38,8.3511,100.202,76.84,81,45,8.68
273,Henties Bay,NA,2021-01-30 21:07:38,-22.116,14.2845,66.99,85,7,3.0
274,Gunjur,GM,2021-01-30 21:07:39,13.2019,-16.7339,73.4,60,0,10.36
275,Nanortalik,GL,2021-01-30 21:07:39,60.1432,-45.2371,31.01,91,100,8.72
276,Flin Flon,CA,2021-01-30 21:07:39,54.7682,-101.865,15.8,79,90,2.73
277,Marzuq,YE,2021-01-30 21:07:39,14.4,46.4667,60.69,56,0,1.01
278,El Reten,CO,2021-01-30 21:07:39,10.6114,-74.2682,98.01,38,5,1.01
279,Zabid,YE,2021-01-30 21:03:13,14.1951,43.3152,73.11,78,0,5.41
280,Nemuro,JP,2021-01-30 21:06:55,43.3236,145.575,21.4,90,85,17.54
281,Labuhan,ID,2021-01-30 21:07:40,-6.8844,112.2051,76.98,87,95,7.7
282,Iguape,BR,2021-01-30 21:07:40,-24.7081,-47.5553,83.66,71,72,8.1
283,Enshi,CN,2021-01-30 21:07:40,30.3,109.4833,46.8,80,100,1.74
284,Ekhabi,RU,2021-01-30 21:07:40,53.5102,142.9671,-7.11,89,100,16.71
285,Vila Velha,BR,2021-01-30 21:07:40,-20.3297,-40.2925,80.6,74,0,18.41
286,Aberdeen,GB,2021-01-30 21:07:30,57.1437,-2.0981,32.0,80,75,8.05
287,Kokkola,FI,2021-01-30 21:07:41,63.8385,23.1307,19.0,92,20,1.14
288,Shingu,JP,2021-01-30 21:05:21,33.7333,135.9833,41.13,75,2,7.25
289,Ternate,ID,2021-01-30 21:07:41,0.8,127.4,78.6,78,100,4.88
290,Nisia Floresta,BR,2021-01-30 21:07:41,-6.0911,-35.2086,82.4,74,0,10.36
291,Penha,BR,2021-01-30 21:07:41,-26.7694,-48.6458,84.2,74,0,6.91
